TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 417 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 417 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 208 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 125 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 250 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 458 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 291 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 375 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 292 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 375 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 209 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 292 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 209 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 333 ns 
