TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 292 ns , Fragmentation: 0.92% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 333 ns , Fragmentation: 0.94% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 208 ns , Fragmentation: 1.70% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 10792 ns , Fragmentation: 0.00% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 125 ns , Fragmentation: 5.47% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 291 ns , Fragmentation: 1.62% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 250 ns , Fragmentation: 5.15% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 333 ns , Fragmentation: 1.92% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 500 ns , Fragmentation: 0.74% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 333 ns , Fragmentation: 0.43% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 334 ns , Fragmentation: 1.46% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 291 ns , Fragmentation: 4.61% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 1916 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 250 ns , Fragmentation: 1.39% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 209 ns , Fragmentation: 0.00% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 250 ns , Fragmentation: 1.86% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 208 ns , Fragmentation: 0.25% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 375 ns , Fragmentation: 5.47% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 333 ns , Fragmentation: 0.59% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 458 ns , Fragmentation: 1.22% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 292 ns , Fragmentation: 1.64% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 292 ns , Fragmentation: 0.42% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 375 ns , Fragmentation: 10.42% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 292 ns , Fragmentation: 1.79% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 250 ns , Fragmentation: 3.69% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 291 ns , Fragmentation: 0.33% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 208 ns , Fragmentation: 1.34% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 250 ns , Fragmentation: 2.93% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 333 ns , Fragmentation: 10.00% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 333 ns , Fragmentation: 1.06% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 291 ns , Fragmentation: 2.96% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 291 ns , Fragmentation: 0.60% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 292 ns , Fragmentation: 1.97% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 250 ns , Fragmentation: 1.64% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 208 ns , Fragmentation: 2.08% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 375 ns , Fragmentation: 0.59% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 417 ns , Fragmentation: 1.43% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 292 ns , Fragmentation: 2.34% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 375 ns , Fragmentation: 2.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 250 ns , Fragmentation: 5.00% 
